temp,pression,hum,CO,CO2,PM2.5,PM10,feu
17.68,941.325070330578,53.5193979171371,0.5,435.572137832641,3.8,10.3,0
10.51,939.85713292837,100,0.5,519.769659042358,3,10.3,0
11.1,940.887294325702,100,0.5,520.833005905151,3.6,4.7,0
8.73,942.515337438928,100,0.5,479.739179611206,3.2,8.2,0
18.49,943.153692669538,64.3861616314977,0.5,420.752038955688,1,2.9,0
9.02,941.160049821763,100,0.5,487.72024154663,4.7,6.8,0
17.59,933.241735897364,68.9903011602442,8,542.278757095336,16.1,44.2,1
12.67,945.769874707427,100,0.5,503.13042640686,2.3,4.8,0
9.11,941.305765800412,100,0.5,505.631437301635,4.1,6.1,0
12.3,940.85038466734,100,0.5,492.917766571044,3.1,9.7,0
12.34,940.470387641267,100,0.5,483.155717849731,3,9.2,0
10.05,941.43002777308,100,0.5,524.719228744506,3.6,4.7,0
12.78,945.922572769501,100,0.5,479.038228988647,2.5,5,0
9.14,942.493661761997,100,0.5,477.748384475708,3.3,9,0
20.55,944.282314332793,43.633293438745,0.5,407.938232421875,0.8,2.2,0
17.25,940.632889059652,49.062058942134,0.5,427.947511672973,3.2,9,0
11.16,942.898358531492,100,0.5,463.055839538574,3.6,9.3,0
17.01,939.65096773912,44.6441212950203,0.5,407.789220809936,4,11.8,0
16.59,941.007534872639,47.8149452483075,0.5,414.699783325195,3.2,9.5,0
19.4,942.722123679815,55.6718434489438,0.5,397.811403274536,0.7,2.6,0
21.98,944.346555576757,40.9350773188373,0.5,409.024229049682,0.8,2.9,0
36.27,943.639881118697,23.9584598458223,0.5,398.089160919189,3.5,7.9,0
15.18,944.0420722802,100,0.5,447.310676574707,0.9,2.1,0
10.93,943.236678858316,100,0.5,456.023683547973,3.3,8.2,0
10.37,944.269366733863,100,0.5,517.683496475219,2.6,6,0
17.11,943.562628983026,78.9634554319037,0.5,405.72093963623,0.8,1.7,0
10.61,942.83075343543,100,0.5,466.113557815551,3.7,8.5,0
11.83,940.812210965802,100,0.5,477.172603607177,4.2,7.2,0
9.66,941.345168505449,100,0.5,495.756139755249,4.4,5.7,0
10.6,944.083214060928,100,0.5,507.797470092773,2.6,5.7,0
10.73,939.684601160737,100,0.5,498.818626403808,3,8.7,0
12.25,940.731480145222,100,0.5,502.028932571411,4,5.3,0
19.71,942.562691782146,46.1355993571421,0.5,401.920547485351,1.1,3.5,0
9.08,941.172949876785,100,0.5,507.575740814208,3.9,5.8,0
8.83,941.170199628751,100,0.5,486.696233749389,6.7,10,0
12.83,945.966477100572,100,0.5,485.043992996215,2.4,3.9,0
9.06,942.506202653103,100,0.5,484.768619537353,3.4,9.2,0
11.27,944.52960522906,100,0.5,510.884990692138,2.2,5,0
16.55,940.65632888818,50.456212472442,0.5,416.615476608276,3.2,9.4,0
29.59,943.348297614776,31.4181296168253,0.5,446.887483596801,3.4,7.7,0
12.23,945.720044469302,100,0.5,489.111413955688,2.1,4.9,0
11.12,940.53800123578,100,0.5,493.913164138793,3.1,8.8,0
11.13,943.206058110009,100,0.5,476.013889312744,3.5,10,0
33.03,943.808981341955,26.440633819078,0.5,398.333539962768,3.7,10.6,0
